Locus	Gene	Start	Length	Product	Allele Count	File
KP1_RS12385		2542982	1197	MFS transporter	1120	KP1_RS12385.fasta
KP1_RS12390		2544374	900	O-acetylserine/cysteine export protein	813	KP1_RS12390.fasta
KP1_RS12395		2545322	219	multiple antibiotic resistance regulatory periplasmic protein MarB	176	KP1_RS12395.fasta
KP1_RS12400		2545581	375	MDR efflux pump AcrAB transcriptional activator MarA	165	KP1_RS12400.fasta
KP1_RS12405		2545976	435	transcriptional regulator	266	KP1_RS12405.fasta
KP1_RS12415		2546672	669	stress protection protein MarC	475	KP1_RS12415.fasta
KP1_RS12420		2547409	1200	MFS transporter	935	KP1_RS12420.fasta
KP1_RS12465		2557283	945	L-lactate dehydrogenase	934	KP1_RS12465.fasta
KP1_RS12475		2558808	879	LysR family transcriptional regulator	793	KP1_RS12475.fasta
KP1_RS12485		2561257	927	glutaminase	760	KP1_RS12485.fasta
KP1_RS12495		2562666	1425	GGDEF domain-containing protein	1179	KP1_RS12495.fasta
KP1_RS12545		2570820	291	hypothetical protein	188	KP1_RS12545.fasta
KP1_RS12575		2576470	672	metal ABC transporter permease	693	KP1_RS12575.fasta
KP1_RS12635		2588411	1380	xanthine permease	1253	KP1_RS12635.fasta
KP1_RS12645		2590265	327	hydroxyisourate hydrolase	450	KP1_RS12645.fasta
KP1_RS12650		2590829	267	transcriptional regulator	208	KP1_RS12650.fasta
KP1_RS12655		2591095	1323	serine/threonine protein kinase	1155	KP1_RS12655.fasta
KP1_RS12660		2592434	1293	hypothetical protein	1094	KP1_RS12660.fasta
KP1_RS12740		2607732	1329	6-phospho-alpha-glucosidase	1129	KP1_RS12740.fasta
KP1_RS12750		2610872	699	GntR family transcriptional regulator	685	KP1_RS12750.fasta
KP1_RS13080		2676712	489	hypothetical protein	424	KP1_RS13080.fasta
KP1_RS13100		2680641	1242	aminotransferase V	1180	KP1_RS13100.fasta
KP1_RS13105		2681898	738	amino acid ABC transporter ATP-binding protein	682	KP1_RS13105.fasta
KP1_RS13115		2683272	666	glutamine ABC transporter permease	733	KP1_RS13115.fasta
KP1_RS13120		2683947	786	amino acid ABC transporter substrate-binding protein	753	KP1_RS13120.fasta
KP1_RS13300		2716739	741	ABC transporter permease	751	KP1_RS13300.fasta
KP1_RS13305		2717504	936	ABC transporter ATP-binding protein	1056	KP1_RS13305.fasta
KP1_RS13310		2718749	1383	aspartate aminotransferase family protein	1103	KP1_RS13310.fasta
KP1_RS13315		2720150	1473	"2,4-diaminobutyrate decarboxylase"	1172	KP1_RS13315.fasta
KP1_RS13330		2724732	1344	two-component sensor histidine kinase	1312	KP1_RS13330.fasta
KP1_RS13340		2726899	993	alpha/beta hydrolase	1128	KP1_RS13340.fasta
KP1_RS13350		2729291	72	coenzyme PQQ synthesis protein A	35	KP1_RS13350.fasta
KP1_RS13355		2729417	927	pyrroloquinoline quinone biosynthesis protein B	891	KP1_RS13355.fasta
KP1_RS13370		2731360	1143	coenzyme PQQ synthesis protein E	1023	KP1_RS13370.fasta
KP1_RS13420		2744603	1407	MFS transporter	1278	KP1_RS13420.fasta
KP1_RS13465		2755545	882	LysR family transcriptional regulator	805	KP1_RS13465.fasta
KP1_RS13475		2759192	918	hypothetical protein	740	KP1_RS13475.fasta
KP1_RS13550		2769666	186	hypothetical protein	192	KP1_RS13550.fasta
KP1_RS13555		2770507	915	NAD(P)-dependent oxidoreductase	815	KP1_RS13555.fasta
KP1_RS13570		2772938	852	MBL fold metallo-hydrolase	818	KP1_RS13570.fasta
KP1_RS13575		2773967	141	30S ribosomal protein S22	83	KP1_RS13575.fasta
KP1_RS13880		2839993	300	hypothetical protein	305	KP1_RS13880.fasta
KP1_RS13895		2841573	1038	NADP-dependent oxidoreductase	1075	KP1_RS13895.fasta
KP1_RS13905		2843420	519	N-acetyltransferase	421	KP1_RS13905.fasta
KP1_RS13910		2843935	450	membrane protein	522	KP1_RS13910.fasta
KP1_RS13915		2844393	234	hypothetical protein	220	KP1_RS13915.fasta
KP1_RS13920		2844643	1599	ABC transporter substrate-binding protein	1274	KP1_RS13920.fasta
KP1_RS27085		2849165	93	hypothetical protein	47	KP1_RS27085.fasta
KP1_RS13970		2852753	930	spermidine/putrescine ABC transporter permease	864	KP1_RS13970.fasta
KP1_RS13975		2853684	1014	polyamine ABC transporter ATP-binding protein	969	KP1_RS13975.fasta
KP1_RS13980		2854714	1146	spermidine/putrescine ABC transporter substrate-binding protein	862	KP1_RS13980.fasta
KP1_RS13985		2856164	1413	GntR family transcriptional regulator	1247	KP1_RS13985.fasta
KP1_RS13995		2859661	1011	"ubiquinol oxidase subunit II, cyanide insensitive"	1033	KP1_RS13995.fasta
KP1_RS14050		2868561	597	tellurite resistance methyltransferase TehB	573	KP1_RS14050.fasta
KP1_RS14055		2869154	1005	dicarboxylate transporter/tellurite-resistance protein TehA	939	KP1_RS14055.fasta
KP1_RS14070	mdoD	2871868	1656	glucan biosynthesis protein D	1081	KP1_RS14070.fasta
KP1_RS14090		2878226	741	"protocatechuate 3,4-dioxygenase subunit beta"	586	KP1_RS14090.fasta
KP1_RS14095		2878963	621	"protocatechuate 3,4-dioxygenase subunit alpha"	603	KP1_RS14095.fasta
KP1_RS14105		2880985	2373	quinate dehydrogenase	1670	KP1_RS14105.fasta
KP1_RS14110		2883427	1119	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	874	KP1_RS14110.fasta
KP1_RS14115		2884570	276	hypothetical protein	175	KP1_RS14115.fasta
KP1_RS14160		2892616	216	nucleoid-associated protein	102	KP1_RS14160.fasta
KP1_RS14175		2894491	582	electron transport complex subunit A	364	KP1_RS14175.fasta
KP1_RS14190		2897905	1053	electron transport complex subunit D	788	KP1_RS14190.fasta
KP1_RS14195		2898968	621	electron transport complex subunit G	479	KP1_RS14195.fasta
KP1_RS14200		2899591	699	electron transport complex subunit E	494	KP1_RS14200.fasta
KP1_RS14215		2901534	1506	dipeptide/tripeptide permease A	944	KP1_RS14215.fasta
KP1_RS14230		2904720	1275	tyrosine--tRNA ligase	851	KP1_RS14230.fasta
KP1_RS14235		2906119	657	pyridoxine/pyridoxamine 5'-phosphate oxidase	450	KP1_RS14235.fasta
KP1_RS14240		2906833	324	lysozyme inhibitor	214	KP1_RS14240.fasta
KP1_RS14250		2908641	468	hypothetical protein	264	KP1_RS14250.fasta
KP1_RS14265		2911339	237	DUF1656 domain-containing protein	190	KP1_RS14265.fasta
KP1_RS14290		2916035	240	DUF1289 domain-containing protein	157	KP1_RS14290.fasta
KP1_RS14295		2916417	600	transcriptional regulator	480	KP1_RS14295.fasta
KP1_RS14300		2917070	1098	alkene reductase	859	KP1_RS14300.fasta
KP1_RS14305		2918246	408	lactoylglutathione lyase	230	KP1_RS14305.fasta
KP1_RS14315		2919485	348	glutaredoxin	228	KP1_RS14315.fasta
KP1_RS14330		2921955	582	superoxide dismutase	580	KP1_RS14330.fasta
KP1_RS14335		2922598	1167	MFS transporter	960	KP1_RS14335.fasta
KP1_RS14345		2924317	1026	PurR family transcriptional regulator	585	KP1_RS14345.fasta
KP1_RS14365		2929045	636	riboflavin synthase subunit alpha	471	KP1_RS14365.fasta
KP1_RS14370		2929910	1374	MATE family efflux transporter	994	KP1_RS14370.fasta
KP1_RS14380		2932006	579	"Rossman fold protein, TIGR00730 family"	545	KP1_RS14380.fasta
KP1_RS14830		3015833	237	hypothetical protein	159	KP1_RS14830.fasta
KP1_RS14840		3017444	2151	formate dehydrogenase subunit alpha	1641	KP1_RS14840.fasta
KP1_RS14865		3024675	393	glyoxalase	493	KP1_RS14865.fasta
KP1_RS14895		3028478	903	RpiR family transcriptional regulator	822	KP1_RS14895.fasta
KP1_RS14900		3029377	954	protein translocase component YidC	1070	KP1_RS14900.fasta
KP1_RS14915		3032415	822	ABC transporter	803	KP1_RS14915.fasta
KP1_RS14925		3036041	774	ABC transporter	600	KP1_RS14925.fasta
KP1_RS14935		3037777	1038	ABC transporter substrate-binding protein	1067	KP1_RS14935.fasta
KP1_RS14950		3040927	1086	alkanesulfonate monooxygenase	1129	KP1_RS14950.fasta
KP1_RS14955		3042157	894	LysR family transcriptional regulator	1064	KP1_RS14955.fasta
KP1_RS14960		3043157	603	cysteine dioxygenase	676	KP1_RS14960.fasta
KP1_RS14980		3047458	1017	4-hydroxy-2-oxovalerate aldolase	1126	KP1_RS14980.fasta
KP1_RS14995		3050231	867	"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase"	962	KP1_RS14995.fasta
KP1_RS15005	mhpA	3052061	1665	3-(3-hydroxyphenyl)propionate hydroxylase	1568	KP1_RS15005.fasta
KP1_RS15010		3053903	813	transcriptional regulator	991	KP1_RS15010.fasta
KP1_RS15050		3062618	639	TetR family transcriptional regulator	474	KP1_RS15050.fasta
KP1_RS15055		3063274	213	hypothetical protein	194	KP1_RS15055.fasta
KP1_RS15065		3063723	132	hypothetical protein	82	KP1_RS15065.fasta
KP1_RS15070		3063992	1413	pyruvate kinase	1000	KP1_RS15070.fasta
KP1_RS15075		3065717	237	murein lipoprotein	96	KP1_RS15075.fasta
KP1_RS15090		3067529	1221	cysteine desulfurase	1259	KP1_RS15090.fasta
KP1_RS15095		3068746	1275	FeS cluster assembly protein SufD	1437	KP1_RS15095.fasta
KP1_RS15105		3070758	1488	Fe-S cluster assembly protein SufB	2075	KP1_RS15105.fasta
KP1_RS15110		3072248	378	Fe-S cluster assembly scaffold SufA	312	KP1_RS15110.fasta
KP1_RS15115		3073108	198	hypothetical protein	135	KP1_RS15115.fasta
KP1_RS15150		3080334	615	AcrR family transcriptional regulator	563	KP1_RS15150.fasta
KP1_RS15185		3087321	1032	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase	757	KP1_RS15185.fasta
KP1_RS15190		3088376	981	hypothetical protein	629	KP1_RS15190.fasta
KP1_RS15205		3090351	249	membrane protein	118	KP1_RS15205.fasta
KP1_RS15210		3090804	411	acyl-CoA esterase	271	KP1_RS15210.fasta
KP1_RS15215		3091211	3057	membrane protein	1733	KP1_RS15215.fasta
KP1_RS15225		3095981	2379	phosphoenolpyruvate synthase	1509	KP1_RS15225.fasta
KP1_RS15230		3098435	120	hypothetical protein	161	KP1_RS15230.fasta
KP1_RS15235		3098699	834	phosphoenolpyruvate synthase regulatory protein	699	KP1_RS15235.fasta
KP1_RS15240		3099687	1047	3-deoxy-7-phosphoheptulonate synthase	865	KP1_RS15240.fasta
KP1_RS15245		3100841	228	hypothetical protein	201	KP1_RS15245.fasta
KP1_RS15255		3102654	465	endopeptidase	327	KP1_RS15255.fasta
KP1_RS15260		3103200	750	vitamin B12 ABC transporter ATP-binding protein BtuD	654	KP1_RS15260.fasta
KP1_RS15270	metQ	3104737	801	hypothetical protein	553	KP1_RS15270.fasta
KP1_RS15275		3105574	987	vitamin B12 ABC transporter permease BtuC	793	KP1_RS15275.fasta
KP1_RS15280		3106682	1434	gluconate:proton symporter	1184	KP1_RS15280.fasta
KP1_RS15285		3108396	915	LysR family transcriptional regulator	794	KP1_RS15285.fasta
KP1_RS15295		3110610	354	hypothetical protein	306	KP1_RS15295.fasta
KP1_RS15300		3111016	300	integration host factor subunit alpha	100	KP1_RS15300.fasta
KP1_RS15310		3113723	984	phenylalanine--tRNA ligase subunit alpha	579	KP1_RS15310.fasta
KP1_RS15315		3115013	357	50S ribosomal protein L20	147	KP1_RS15315.fasta
KP1_RS15320		3115420	198	50S ribosomal protein L35	95	KP1_RS15320.fasta
KP1_RS15325		3115710	543	translation initiation factor IF-3	209	KP1_RS15325.fasta
KP1_RS15330		3116256	1929	threonine--tRNA ligase	1070	KP1_RS15330.fasta
KP1_RS15340		3119121	759	membrane protein	503	KP1_RS15340.fasta
KP1_RS15345		3120236	933	6-phosphofructokinase II	770	KP1_RS15345.fasta
KP1_RS15355		3121653	873	hypothetical protein	527	KP1_RS15355.fasta
KP1_RS15360		3122569	747	TonB system transport protein TonB	709	KP1_RS15360.fasta
KP1_RS15365		3123526	297	hypothetical protein	205	KP1_RS15365.fasta
KP1_RS15380		3125634	285	hypothetical protein	159	KP1_RS15380.fasta
KP1_RS15385		3125951	1461	cardiolipin synthase A	906	KP1_RS15385.fasta
KP1_RS15390		3127446	330	dsDNA-mimic protein	150	KP1_RS15390.fasta
KP1_RS15400		3128722	1005	peptide ABC transporter ATP-binding protein	626	KP1_RS15400.fasta
KP1_RS15405		3129723	1014	oligopeptide ABC transporter ATP-binding protein OppD	685	KP1_RS15405.fasta
KP1_RS15410		3130748	909	peptide ABC transporter permease	671	KP1_RS15410.fasta
KP1_RS15415	oppB	3131671	921	peptide ABC transporter permease	535	KP1_RS15415.fasta
KP1_RS15420		3132677	1635	peptide ABC transporter substrate-binding protein	982	KP1_RS15420.fasta
KP1_RS15435		3135880	216	hypothetical protein	180	KP1_RS15435.fasta
KP1_RS15440		3136173	2676	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	1360	KP1_RS15440.fasta
KP1_RS15455		3140175	408	DNA-binding protein	169	KP1_RS15455.fasta
KP1_RS15460		3140704	903	UTP--glucose-1-phosphate uridylyltransferase	523	KP1_RS15460.fasta
KP1_RS15475		3143922	459	hypothetical protein	273	KP1_RS15475.fasta
KP1_RS15480		3144423	843	formyltetrahydrofolate deformylase	442	KP1_RS15480.fasta
KP1_RS15505		3147895	678	respiratory nitrate reductase subunit gamma	555	KP1_RS15505.fasta
KP1_RS15510		3148572	711	nitrate reductase molybdenum cofactor assembly chaperone	594	KP1_RS15510.fasta
KP1_RS15515		3149279	1536	nitrate reductase subunit beta	1217	KP1_RS15515.fasta
KP1_RS15520		3150811	3744	nitrate reductase subunit alpha	1909	KP1_RS15520.fasta
KP1_RS15530		3154960	1389	MFS transporter	1042	KP1_RS15530.fasta
KP1_RS15535		3156660	1779	nitrate/nitrite two-component system sensor histidine kinase	1526	KP1_RS15535.fasta
KP1_RS15540		3158449	651	DNA-binding response regulator	645	KP1_RS15540.fasta
KP1_RS15545		3159096	1383	YchO family inverse autotransporter domain-containing protein	1112	KP1_RS15545.fasta
KP1_RS15560		3167308	789	nitrate ABC transporter ATP-binding protein	679	KP1_RS15560.fasta
KP1_RS15565		3168106	885	"nitrate ABC transporter, permease protein"	681	KP1_RS15565.fasta
KP1_RS15590		3172331	243	hypothetical protein	137	KP1_RS15590.fasta
KP1_RS15595		3172791	681	cation transport regulator	537	KP1_RS15595.fasta
KP1_RS15600	chaB	3173608	231	cation transport regulator	191	KP1_RS15600.fasta
KP1_RS15610		3175289	855	2-dehydro-3-deoxyphosphooctonate aldolase	459	KP1_RS15610.fasta
KP1_RS15615		3176183	813	hypothetical protein	698	KP1_RS15615.fasta
KP1_RS15620		3176999	393	hypothetical protein	253	KP1_RS15620.fasta
KP1_RS15625		3177391	849	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase	743	KP1_RS15625.fasta
KP1_RS15630		3178239	1083	peptide chain release factor 1	675	KP1_RS15630.fasta
KP1_RS15635		3179364	1257	glutamyl-tRNA reductase	765	KP1_RS15635.fasta
KP1_RS15640	lolB	3180891	612	outer membrane lipoprotein LolB	403	KP1_RS15640.fasta
KP1_RS15650		3182534	948	ribose-phosphate pyrophosphokinase	428	KP1_RS15650.fasta
KP1_RS15665		3186554	276	membrane protein	155	KP1_RS15665.fasta
KP1_RS15670		3187102	585	peptidyl-tRNA hydrolase	438	KP1_RS15670.fasta
KP1_RS15680		3188977	330	DUF1869 domain-containing protein	363	KP1_RS15680.fasta
KP1_RS15840		3222251	477	GNAT family acetyltransferase	417	KP1_RS15840.fasta
KP1_RS15850		3224704	894	cell density-dependent motility repressor	788	KP1_RS15850.fasta
KP1_RS15860		3226319	876	ABC transporter ATP-binding protein	893	KP1_RS15860.fasta
KP1_RS15865		3227191	1287	branched-chain amino acid ABC transporter permease	1211	KP1_RS15865.fasta
KP1_RS15870		3228487	915	branched-chain amino acid ABC transporter permease	733	KP1_RS15870.fasta
KP1_RS15880		3230859	147	hypothetical protein	107	KP1_RS15880.fasta
KP1_RS15885		3231057	2295	formate acetyltransferase	1689	KP1_RS15885.fasta
KP1_RS15895		3234616	1332	threonine/serine transporter TdcC	1096	KP1_RS15895.fasta
KP1_RS15900		3235973	990	serine/threonine dehydratase	942	KP1_RS15900.fasta
KP1_RS15935		3242001	747	peptidase	538	KP1_RS15935.fasta
KP1_RS15940		3242764	816	transglutaminase	538	KP1_RS15940.fasta
KP1_RS15950		3244499	1440	hypothetical protein	1080	KP1_RS15950.fasta
KP1_RS15955		3246323	1746	"alpha,alpha-trehalase"	1062	KP1_RS15955.fasta
KP1_RS15960		3248320	2121	ferrioxamine B receptor	1146	KP1_RS15960.fasta
KP1_RS15965	emtA	3250482	612	murein transglycosylase	462	KP1_RS15965.fasta
KP1_RS15970		3251269	915	muramoyltetrapeptide carboxypeptidase	795	KP1_RS15970.fasta
KP1_RS15980		3254026	1071	alanine racemase	921	KP1_RS15980.fasta
KP1_RS15985		3255106	1299	D-amino acid dehydrogenase small subunit	913	KP1_RS15985.fasta
KP1_RS15995		3256726	1533	SpoVR family protein	944	KP1_RS15995.fasta
KP1_RS16000		3258333	720	fatty acid metabolism regulator protein	470	KP1_RS16000.fasta
KP1_RS16005		3259301	1551	Na+/H+ antiporter NhaB	1259	KP1_RS16005.fasta
KP1_RS16010		3260980	531	disulfide bond formation protein B	310	KP1_RS16010.fasta
KP1_RS16020		3262012	447	hypothetical protein	320	KP1_RS16020.fasta
KP1_RS16030		3263229	282	hypothetical protein	136	KP1_RS16030.fasta
KP1_RS16040		3263637	699	septum site-determining protein MinC	347	KP1_RS16040.fasta
KP1_RS16045		3264359	813	septum site-determining protein MinD	409	KP1_RS16045.fasta
KP1_RS16050		3265175	270	cell division topological specificity factor	127	KP1_RS16050.fasta
KP1_RS16060		3266719	1686	long-chain-fatty-acid--CoA ligase	1133	KP1_RS16060.fasta
KP1_RS16065		3268610	582	membrane protein	591	KP1_RS16065.fasta
KP1_RS16070		3269230	696	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	567	KP1_RS16070.fasta
KP1_RS16075		3270071	1911	ATP-dependent helicase	1399	KP1_RS16075.fasta
KP1_RS16080		3272113	345	hypothetical protein	229	KP1_RS16080.fasta
KP1_RS16085		3272458	186	hypothetical protein	128	KP1_RS16085.fasta
KP1_RS16090	pabB	3272732	1356	aminodeoxychorismate synthase subunit I	1073	KP1_RS16090.fasta
KP1_RS16100		3274832	1365	L-serine ammonia-lyase	862	KP1_RS16100.fasta
KP1_RS16115		3277996	1560	hypothetical protein	1049	KP1_RS16115.fasta
KP1_RS16130		3281843	852	PTS mannose transporter subunit IID	559	KP1_RS16130.fasta
KP1_RS16135		3282757	459	hypothetical protein	506	KP1_RS16135.fasta
KP1_RS16140		3283634	567	membrane protein	386	KP1_RS16140.fasta
KP1_RS16155		3286996	210	cold-shock protein CspC	109	KP1_RS16155.fasta
KP1_RS16165		3287953	291	hypothetical protein	218	KP1_RS16165.fasta
KP1_RS16180		3288917	792	IclR family transcriptional regulator	534	KP1_RS16180.fasta
KP1_RS16185		3289886	1371	MFS transporter	1110	KP1_RS16185.fasta
KP1_RS16195		3292442	2049	tail-specific protease	1220	KP1_RS16195.fasta
KP1_RS16200		3294510	678	RNA chaperone ProQ	312	KP1_RS16200.fasta
KP1_RS16205		3295285	498	hypothetical protein	331	KP1_RS16205.fasta
KP1_RS16225		3301473	240	hypothetical protein	125	KP1_RS16225.fasta
KP1_RS16230		3301810	192	hypothetical protein	104	KP1_RS16230.fasta
KP1_RS16250		3304660	339	hypothetical protein	243	KP1_RS16250.fasta
KP1_RS16265		3306375	231	DNA polymerase III subunit theta	149	KP1_RS16265.fasta
KP1_RS16270		3306684	660	DNA polymerase III subunit epsilon	492	KP1_RS16270.fasta
KP1_RS16275		3307347	2061	oligopeptidase B	1135	KP1_RS16275.fasta
KP1_RS16290		3310819	1179	phosphoribosylglycinamide formyltransferase 2	1013	KP1_RS16290.fasta
KP1_RS16295		3312055	642	ketohydroxyglutarate aldolase	473	KP1_RS16295.fasta
KP1_RS16305		3314769	1476	glucose-6-phosphate dehydrogenase	814	KP1_RS16305.fasta
KP1_RS16310		3316255	150	hypothetical protein	86	KP1_RS16310.fasta
KP1_RS16315		3316600	870	transcriptional regulator HexR	534	KP1_RS16315.fasta
KP1_RS16320		3317595	1443	pyruvate kinase	951	KP1_RS16320.fasta
KP1_RS16325		3319078	975	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase	539	KP1_RS16325.fasta
KP1_RS16330		3320170	1320	murein DD-endopeptidase MepM	939	KP1_RS16330.fasta
KP1_RS16335		3321505	945	zinc ABC transporter substrate-binding protein	660	KP1_RS16335.fasta
KP1_RS16350		3324129	1011	Holliday junction DNA helicase RuvB	612	KP1_RS16350.fasta
KP1_RS16355		3325148	612	Holliday junction ATP-dependent DNA helicase RuvA	346	KP1_RS16355.fasta
KP1_RS16360		3325839	522	crossover junction endodeoxyribonuclease RuvC	334	KP1_RS16360.fasta
KP1_RS16365		3326395	741	transcriptional regulator	523	KP1_RS16365.fasta
KP1_RS16370		3327163	444	NUDIX pyrophosphatase	178	KP1_RS16370.fasta
KP1_RS16375		3327608	1788	aspartate--tRNA ligase	1050	KP1_RS16375.fasta
KP1_RS16380		3329663	567	hydrolase	512	KP1_RS16380.fasta
KP1_RS16385		3330226	819	hypothetical protein	851	KP1_RS16385.fasta
KP1_RS16390		3331097	396	membrane protein	256	KP1_RS16390.fasta
KP1_RS16395		3331532	744	carboxy-S-adenosyl-L-methionine synthase CmoA	462	KP1_RS16395.fasta
KP1_RS16400		3332272	1005	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB	833	KP1_RS16400.fasta
KP1_RS16405		3333358	744	copper homeostasis protein CutC	821	KP1_RS16405.fasta
KP1_RS16410		3334178	570	VOC family protein	493	KP1_RS16410.fasta
KP1_RS16415		3334983	1734	arginine--tRNA ligase	1114	KP1_RS16415.fasta
KP1_RS16420		3336778	1140	glycosyl hydrolase family 88	1032	KP1_RS16420.fasta
KP1_RS16425		3337922	1584	MFS transporter	1255	KP1_RS16425.fasta
KP1_RS16435		3340310	1425	trehalose-6-phosphate synthase	1047	KP1_RS16435.fasta
KP1_RS16445		3342659	981	L-arabinose ABC transporter permease AraH	787	KP1_RS16445.fasta
KP1_RS16450	araG	3343654	1515	L-arabinose ABC transporter ATP-binding protein AraG	1178	KP1_RS16450.fasta
KP1_RS16455		3345231	981	arabinose ABC transporter substrate-binding protein	751	KP1_RS16455.fasta
KP1_RS16470		3347856	1563	MFS transporter	1127	KP1_RS16470.fasta
KP1_RS16485		3351329	639	hypothetical protein	395	KP1_RS16485.fasta
KP1_RS16495		3352376	498	ferritin	358	KP1_RS16495.fasta
KP1_RS16560		3361777	753	L-cystine ABC transporter ATP-binding protein YecC	594	KP1_RS16560.fasta
KP1_RS16565		3362526	669	amino acid ABC transporter permease	401	KP1_RS16565.fasta
KP1_RS16570		3363210	987	aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase family protein	770	KP1_RS16570.fasta
KP1_RS16575		3364292	801	cystine ABC transporter substrate-binding protein	571	KP1_RS16575.fasta
KP1_RS16595		3368285	192	hypothetical protein	108	KP1_RS16595.fasta
KP1_RS16680	cbl	3382699	951	CysB family transcriptional regulator	789	KP1_RS16680.fasta
KP1_RS16685		3383756	918	nitrogen assimilation regulatory protein nac	782	KP1_RS16685.fasta
KP1_RS16695		3385241	1455	AMP nucleosidase	1167	KP1_RS16695.fasta
KP1_RS16715		3389929	978	quinone oxidoreductase	1033	KP1_RS16715.fasta
KP1_RS16735		3394131	1437	MATE family multidrug exporter	1338	KP1_RS16735.fasta
KP1_RS16740		3395602	153	hypothetical protein	75	KP1_RS16740.fasta
KP1_RS17025		3473408	972	GGDEF domain-containing protein	883	KP1_RS17025.fasta
KP1_RS17030		3474586	837	chloroperoxidase	753	KP1_RS17030.fasta
KP1_RS17050		3477584	333	hypothetical protein	340	KP1_RS17050.fasta
KP1_RS17065		3480059	498	oxidoreductase	443	KP1_RS17065.fasta
KP1_RS17075		3480864	1320	MFS transporter	1214	KP1_RS17075.fasta
KP1_RS17090		3484002	390	4-oxalocrotonate tautomerase	433	KP1_RS17090.fasta
KP1_RS17095		3484413	732	membrane protein	686	KP1_RS17095.fasta
KP1_RS17100		3485343	1110	adenosylhomocysteinase	1216	KP1_RS17100.fasta
KP1_RS17105		3486495	1068	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	1339	KP1_RS17105.fasta
KP1_RS17115		3488645	324	hypothetical protein	163	KP1_RS17115.fasta
KP1_RS17120		3489136	1059	FUSC family protein	933	KP1_RS17120.fasta
KP1_RS17125		3490293	474	DNA gyrase inhibitor	642	KP1_RS17125.fasta
KP1_RS17130		3490943	1164	D-alanyl-D-alanine carboxypeptidase	1090	KP1_RS17130.fasta
KP1_RS17135		3492287	1425	exodeoxyribonuclease I	1453	KP1_RS17135.fasta
KP1_RS17140		3493935	2103	elongation factor G	1819	KP1_RS17140.fasta
KP1_RS17145		3496277	312	transcriptional regulator	274	KP1_RS17145.fasta
KP1_RS17150		3496771	1359	putrescine/spermidine ABC transporter	1359	KP1_RS17150.fasta
KP1_RS17160		3499348	825	NAD(P)-dependent oxidoreductase	973	KP1_RS17160.fasta
KP1_RS17165		3500545	900	ATP phosphoribosyltransferase	989	KP1_RS17165.fasta
KP1_RS17175		3502785	1062	histidinol-phosphate aminotransferase	1293	KP1_RS17175.fasta
KP1_RS17180		3503843	1068	bifunctional imidazole glycerol-phosphate dehydratase/histidinol phosphatase	1210	KP1_RS17180.fasta
KP1_RS17185		3504910	591	imidazole glycerol phosphate synthase subunit HisH	780	KP1_RS17185.fasta
KP1_RS17195		3506219	777	imidazole glycerol phosphate synthase cyclase subunit	988	KP1_RS17195.fasta
KP1_RS17255		3519637	1005	NAD-dependent epimerase	1330	KP1_RS17255.fasta
KP1_RS17405		3558297	141	hypothetical protein	127	KP1_RS17405.fasta
KP1_RS17415		3559438	1275	C4-dicarboxylate ABC transporter	1412	KP1_RS17415.fasta
KP1_RS17430		3565374	3078	multidrug resistance protein MdtC	2363	KP1_RS17430.fasta
KP1_RS17435		3568453	1416	multidrug transporter subunit MdtD	1649	KP1_RS17435.fasta
KP1_RS17445		3571340	723	DNA-binding response regulator	818	KP1_RS17445.fasta
KP1_RS17450		3572381	1362	U32 family peptidase	1371	KP1_RS17450.fasta
KP1_RS17455		3573988	894	lipid kinase YegS	1040	KP1_RS17455.fasta
KP1_RS17495		3582582	1278	D-arabinitol transporter	1422	KP1_RS17495.fasta
KP1_RS17505		3585403	1368	D-arabinitol 4-dehydrogenase	1447	KP1_RS17505.fasta
KP1_RS17510		3586977	942	cytochrome c biogenesis protein CcdA	965	KP1_RS17510.fasta
KP1_RS17535		3593004	1053	fructose-bisphosphate aldolase	825	KP1_RS17535.fasta
KP1_RS17590		3606645	1344	permease	1383	KP1_RS17590.fasta
KP1_RS17605		3609353	462	N-acetyltransferase GCN5	582	KP1_RS17605.fasta
KP1_RS17610		3609811	1110	Fe-S-binding ATPase	956	KP1_RS17610.fasta
KP1_RS17615	metG	3611074	2034	methionine--tRNA ligase	1764	KP1_RS17615.fasta
KP1_RS17620		3613222	471	hypothetical protein	354	KP1_RS17620.fasta
KP1_RS17655		3619285	918	ABC transporter substrate-binding protein	818	KP1_RS17655.fasta
KP1_RS17660		3620339	2298	beta-glucosidase	1688	KP1_RS17660.fasta
KP1_RS17670		3624662	555	acetyltransferase	491	KP1_RS17670.fasta
KP1_RS17675		3625558	948	D-alanyl-D-alanine endopeptidase	727	KP1_RS17675.fasta
